,country_name,party_name_english,party_name_parlgov
1047,Lithuania,Lithuanian Peasant Party,Lithuanian Peasants Party
1048,Lithuania,Lithuanian Green Party,Lithuanian Peasants Party
1049,Lithuania,Liberal and Centre Union,Liberal and Centre Union
1050,Lithuania,United Faction of the Liberal and Centre Union and Nations Resurrection Party,
1051,Lithuania,New Union (Social Liberals),New Union (Social Liberals)
1052,Lithuania,Civic Democratic Party,
1053,Lithuania,Socialist People's Front,
1054,Lithuania,YES -- Homeland Revival and Perspective,
1055,Lithuania,National Progress Movement,
1056,Lithuania,National Resurrection Party,National Resurrection Party
1057,Lithuania,Homeland Union,Homeland Union
1058,Lithuania,Lithuanian Communist Party on the CPSU Platform,
1059,Lithuania,Order and Justice -- Liberal Democratic Party,
1060,Lithuania,Party of National Progress,
1061,Lithuania,"Peoples Union ""For Just Lithuania""",
1062,Lithuania,Samogitian Party,
1063,Lithuania,no seat,
1064,Lithuania,no party affiliation,
1065,Lithuania,one seat,
1277,Poland,Solidarity Electoral Action,
1278,Poland,Non-Party Block for Supporting the Reforms,Non-Party Bloc in Support of Reforms
1279,Poland,Christian Democracy,
1280,Poland,Democratic | Freedom | Union,
1281,Poland,Initiative for Poland,
1282,Poland,Kukiz'15,
1283,Poland,Liberal Democratic Congress,Liberal-Democratic Congress
1284,Poland,Coalition for the Renewal of the Republic -- Liberty and Hope,
1285,Poland,National Party of Pensioners and Retired,
1286,Poland,National Agreement of Pensioners and Retired of the Republic Poland,
1287,Poland,Confederation for Independent Poland,Confederation for an Independent Poland
1288,Poland,Libertas Poland,
1289,Poland,League of Polish Families,League of Polish Families
1290,Poland,Left and Democrats,Left and Democrats
1291,Poland,German minority,German Minority
1292,Poland,Modern,
1293,Poland,National Christian Democratic -- Block for Poland,
1294,Poland,National Voters Committee,
1295,Poland,Centre Agreement,
1296,Poland,Party of Christian Democrats,Party of Christian Democrats
1297,Poland,Peasants Agreement,
1298,Poland,Civic Platform,Civic Platform
1299,Poland,Polish Economic Program [Large Beer],Polish Economic Program (Large Beer)
1300,Poland,Poland Together | Alliance,
1301,Poland,Polish People's Party,
1302,Poland,Polish United Workers' Party,
1303,Poland,Polish Western Union,Polish Western Union
1304,Poland,Law and Justice,Law and Justice
1305,Poland,Poland is the Most Important,
1306,Poland,Republic Right Party,
1307,Poland,Movement for Silesian Autonomy,
1308,Poland,Catholic-National Movement,
1309,Poland,National Movement ,
1310,Poland,Movement for the Reconstruction of Poland,Movement for the Reconstruction of Poland
1311,Poland,Your (Palikot's) Movement,Palikot's Movement
1312,Poland,Together Party,
1313,Poland,Movement for the Republic,Movement for the Republic
1314,Poland,Solidarnosc,
1315,Poland,Democratic Party,Democratic Party
1316,Poland,Social Democracy of Poland,
1317,Poland,Democratic Left Alliance,Democratic Left Alliance
1318,Poland,United Poland,
1319,Poland,Self-Defense of the Republic Poland,
1320,Poland,Labour Solidarity,Labour Solidarity
1321,Poland,Labour Union,
1322,Poland,Real Politics Union | Congress of the New Right,
1323,Poland,Party X,Party X
1324,Poland,Christian National Union,
1325,Poland,United People's Party,
1326,Poland,others,
1327,Poland,no seat,
1328,Poland,no party affiliation,
1329,Poland,one seat,
1330,Poland,to be coded,
1364,Romania,Alliance of Liberals and Democrats,Alliance of Liberals and Democrats
1365,Romania,Alliance for Romania,
1366,Romania,Romanian Democratic Convention,
1367,Romania,Civic Force,
1368,Romania,Democratic Group of the Centre,Democratic Group of the Centre
1369,Romania,Independent -- Mircea Diaconu,
1370,Romania,Liberal Reformist Party,
1371,Romania,Romanian Ecological Movement,
1372,Romania,Party of the Civic Alliance,
1373,Romania,Alternative Party of Romania,
1374,Romania,Conservative Party,
1375,Romania,Democratic Party,Democratic Party
1376,Romania,Democratic Liberal Party,Democratic Liberal Party
1377,Romania,Democratic Agrarian Party of Romania,Democratic Agrarian Party of Romania
1378,Romania,Romanian Ecologist Party,Romanian Ecological Party
1379,Romania,National Initiative Party,
1380,Romania,Liberal Party / Democratic Convention,
1381,Romania,Liberal Democratic Party,Social Democratic Party
1382,Romania,People's Movement Party,People's Movement Party
1383,Romania,New Generation Party -- Christian Democratic,
1384,Romania,National Liberal Party,National Liberal Party
1385,Romania,National Liberal Party Campeanu,National Liberal Party
1386,Romania,National Liberal Party -- Democratic Convention,
1387,Romania,Christian-Democratic National Peasants' Party,Christian Democratic National Peasants’ Party
1388,Romania,People's Party -- Dan Diaconescu,People's Party - Dan Dianconescu
1389,Romania,Party of Pensioners of Romania,
1390,Romania,Greater Romania Party,Greater Romania Party
1391,Romania,United Romania Party,
1392,Romania,Socialist Party,Socialist Labour Party
1393,Romania,Social Democratic Party,Social Democratic Party
1394,Romania,Romanian Social Democratic Party,Romanian Social Democratic Party
1395,Romania,Socialist Party of Labour,
1396,Romania,Romanian Socialist Party of Workers,
1397,Romania,Romanian Socialist Democratic Party,Romanian Socialist Democratic Party
1398,Romania,Romanian National Unity Party,Romanian National Unity Party
1399,Romania,Republican Party,Republican Party
1400,Romania,Party of the Roma,
1401,Romania,Democratic Union of Hungarians in Romania,
1402,Romania,National Union for the Progress of Romania,
1403,Romania,Save Romania Union,Save Romania Union
1404,Romania,Romanian ethnic minorities parties,
1405,Romania,no party affiliation,
1406,Romania,one seat,
1407,Romania,to be coded,
1408,Slovakia,"Change from the Bottom, Democratic Union of Slovakia",
1409,Slovakia,99 Percent -- Civic Voice,
1410,Slovakia,Alliance of Democrats,
1411,Slovakia,Alliance of the New Citizen,Alliance of the New Citizen
1412,Slovakia,Democratic Party,Democratic Party
1413,Slovakia,Democratic Union,
1414,Slovakia,Movement for Democracy,
1415,Slovakia,Movement for a Democratic Slovakia,Movement for a Democratic Slovakia
1416,Slovakia,Movement for a Prosperous Czechia and Slovakia,
1417,Slovakia,Christian Democratic Movement,Christian Democratic Movement
1418,Slovakia,Communist Party of Slovakia,Communist Party of Slovakia
1419,Slovakia,Christian Social Union,
1420,Slovakia,People's Party Our Slovakia,Kotleba – People's Party Our Slovakia
1421,Slovakia,People's Union -- Liberal Party,
1422,Slovakia,Most-Hid,
1423,Slovakia,Hungarian Coalition,Hungarian Coalition
1424,Slovakia,Hungarian Christian Democratic Movement,Hungarian Christian Democratic Movement
1425,Slovakia,Hungarian Civic Party,Hungarian Civic Party
1426,Slovakia,Beautiful Slovakia,
1427,Slovakia,National Democratic Party,
1428,Slovakia,New Slovakia,
1429,Slovakia,Nation and Justice -- Our Party,
1430,Slovakia,Civic Conservative Party,Civic Conservative Party
1431,Slovakia,Ordinary People and Independent,Ordinary People and Independent Personalities
1432,Slovakia,Real Slovak National Party,Slovak National Party
1433,Slovakia,Law and Justice,
1434,Slovakia,Network,Network
1435,Slovakia,Coexistence,Coexistence
1436,Slovakia,Social Democratic Alternative,
1437,Slovakia,Slovak Democratic Coalition,Slovak Democratic Coalition
1438,Slovakia,Slovak Democratic and Christian Union -- Democratic Party,Slovak Democratic and Christian Union - Democartic Party
1439,Slovakia,Party of the Democratic Left,Party of the Democratic Left
1440,Slovakia,Party of the Democratic Left -- 2005,Party of the Democratic Left
1441,Slovakia,Social Democratic Party of Slovakia,
1442,Slovakia,Free Forum,
1443,Slovakia,Slovak National Party,Slovak National Party
1444,Slovakia,Party of Civic Understanding,Party of Civic Understanding
1445,Slovakia,"Party against Corruption, for Order, Labour and Money for all Decent Citizens",
1446,Slovakia,Alliance of Farmers and the Countryside,
1447,Slovakia,We are family -- Boris Kollar,
1448,Slovakia,Freedom Party,
1449,Slovakia,Common Choice,Common Choice
1450,Slovakia,Green Party -- 1992,
1451,Slovakia,Green Party,
1452,Slovakia,Freedom and Solidarity,Freedom and Solidarity
1453,Slovakia,Direction -- Social Democracy,Direction-Social Democracy
1454,Slovakia,TIP Party -- We create another policy ,
1455,Slovakia,Public against Violence,Public Against Violence
1456,Slovakia,Association of Workers of Slovakia,
1457,Slovakia,others,
1458,Slovakia,no party affiliation,
1459,Slovakia,to be coded,
1460,Slovenia,Active Slovenia,
1461,Slovenia,Democratic Opposition of Slovenia,
1462,Slovenia,Civic List,
1463,Slovenia,Democratic Party,Social Democratic Party
1464,Slovenia,Civic Green List,
1465,Slovenia,Democratic Party of Pensioners of Slovenia,Democratic Party of Pensioners of Slovenia
1466,Slovenia,Voice of Slovenian women,
1467,Slovenia,Independent -- Jelko Kacin,
1468,Slovenia,Initiative for Democratic Socialism,
1469,Slovenia,Italian national community,
1470,Slovenia,Christian Socialists,
1471,Slovenia,Liberal Democracy of Slovenia,Liberal Democracy of Slovenia
1472,Slovenia,Liberal Democratic Party of Slovenia,Liberal Democracy of Slovenia
1473,Slovenia,Party Lime Tree,
1474,Slovenia,Zoran Jankovic's List -- Positive Slovenia,Zoran Janković's List - Positive Slovenia
1475,Slovenia,Hungarian national community,
1476,Slovenia,National Democratic Party,Social Democratic Party
1477,Slovenia,New Slovenia -- Christian People's Party,New Slovenian Christian People’s Party
1478,Slovenia,Slovenian Pirate Party,
1479,Slovenia,Solidarity,
1480,Slovenia,Slovenian Democratic Party,Slovenian Democratic Party
1481,Slovenia,Slovenian Democratic Union,Slovenian Democratic Party
1482,Slovenia,Slovenian Forum,
1483,Slovenia,Slovenian People's Party,Slovenian People's Party
1484,Slovenia,Party of Miro Cerar,
1485,Slovenia,Youth Party of Slovenia,
1486,Slovenia,Party of Independence,
1487,Slovenia,Slovenian National Party,Slovenian National Party
1488,Slovenia,Slovenia is Ours,
1489,Slovenia,Slovenian Craftsmen and Entreprenerial Party,
1490,Slovenia,Slovenian Liberal Party,Slovenian National Party
1491,Slovenia,Dream Job,
1492,Slovenia,Socialist Party of Slovenia,Social-Democratic Party of Slovenia
1493,Slovenia,Party for Sustainable Development of Slovenia,
1494,Slovenia,I Believe ,
1495,Slovenia,League for Citizens' Equality,
1496,Slovenia,United List -- Social Democrats,Associated List of Social Democrats
1497,Slovenia,Greens of Slovenia,Greens of Slovenia
1498,Slovenia,Alliance of Alenka Bratusek,
1499,Slovenia,For Real,For Real
1500,Slovenia,United Left,
1501,Slovenia,others,
1502,Slovenia,no party affiliation,
1503,Slovenia,to be coded,
